method,auc,0.0 - precision,0.0 - recall,0.0 - f1-score,0.0 - support,1.0 - precision,1.0 - recall,1.0 - f1-score,1.0 - support,macro avg - precision,macro avg - recall,macro avg - f1-score,macro avg - support,weighted avg - precision,weighted avg - recall,weighted avg - f1-score,weighted avg - support,epochs,hidden_dim1,hidden_dim2,lr
Random,0.8103214088302517,0.7690248172175883,0.6937941285767373,0.7294749694749696,21528,0.7210798002877211,0.791620215533259,0.7547052832026925,21528,0.7450523087526547,0.7427071720549981,0.7420901263388311,43056,0.7450523087526547,0.7427071720549981,0.7420901263388311,43056,150,128,16,0.001
Random,0.8431027372888226,0.7931240360216926,0.7404775176514307,0.7658971340716361,21528,0.7566319641068083,0.8068561872909699,0.7809373946274024,21528,0.7748780000642504,0.7736668524712003,0.7734172643495192,43056,0.7748780000642504,0.7736668524712003,0.7734172643495192,43056,150,128,16,0.01
Random,0.8374982628294544,0.7845422711355677,0.7284931252322556,0.7554795510381039,21528,0.7465967224486257,0.7999349684132293,0.7723460555231646,21528,0.7655694967920967,0.7642140468227425,0.7639128032806343,43056,0.7655694967920966,0.7642140468227425,0.7639128032806343,43056,150,128,16,0.05
Random,0.8238289390492083,0.7735596911502672,0.7259847640282423,0.7490175404965015,21528,0.7418606686504463,0.7874860646599777,0.76399278954484,21528,0.7577101799003567,0.7567354143441101,0.7565051650206707,43056,0.7577101799003568,0.75673541434411,0.7565051650206707,43056,150,128,32,0.001
Random,0.8463271359822666,0.8118978936482882,0.6929115570419918,0.747700558883236,21528,0.7321638374589798,0.8394648829431438,0.7821514358053276,21528,0.7720308655536341,0.7661882199925678,0.7649259973442819,43056,0.772030865553634,0.7661882199925678,0.7649259973442818,43056,150,128,32,0.01
Random,0.8373243202944259,0.7801579993214753,0.7477238944630249,0.763596688883091,21528,0.7577933371984124,0.7892976588628763,0.7732247275374848,21528,0.7689756682599438,0.7685107766629506,0.7684107082102879,43056,0.7689756682599438,0.7685107766629505,0.768410708210288,43056,150,128,32,0.05
Random,0.8100276973298004,0.7673533590420134,0.7024804905239688,0.7334853041032108,21528,0.7256724344697618,0.7870215533259012,0.7551029503520812,21528,0.7465128967558876,0.7447510219249349,0.744294127227646,43056,0.7465128967558876,0.7447510219249349,0.744294127227646,43056,150,256,16,0.001
Random,0.8370976185672516,0.7727208145867867,0.7578966926793014,0.7652369673803437,21528,0.7624538535162482,0.7770810107766629,0.7696979456624261,21528,0.7675873340515174,0.7674888517279821,0.7674674565213849,43056,0.7675873340515174,0.7674888517279822,0.7674674565213849,43056,150,256,16,0.01
Random,0.8409737065094143,0.7775537634408602,0.7524154589371981,0.7647780925401323,21528,0.7601691864650828,0.7847454477889261,0.7722618394587677,21528,0.7688614749529715,0.768580453363062,0.7685199659994499,43056,0.7688614749529715,0.768580453363062,0.7685199659994499,43056,150,256,16,0.05
Random,0.8192625485984842,0.7707895526868808,0.7155797101449275,0.7421592715710362,21528,0.7345903771131339,0.7872073578595318,0.7599892371855239,21528,0.7526899649000074,0.7513935340022296,0.75107425437828,43056,0.7526899649000073,0.7513935340022296,0.7510742543782801,43056,150,256,32,0.001
